Time,Type,Instrument,Product,Qty.,Avg. price,Status
2022-12-01 13:30:25,SELL,BANKNIFTY22D0143000PE,MIS,250/250,25.3,COMPLETE
2022-12-01 13:30:24,SELL,BANKNIFTY22D0143000PE,MIS,900/900,25.3,COMPLETE
2022-12-01 13:30:18,BUY,NIFTY22D0118950CE,MIS,300/300,2.55,COMPLETE
2022-12-01 13:30:18,BUY,NIFTY22D0118950PE,MIS,300/300,153.75,COMPLETE
2022-12-01 13:30:15,BUY,BANKNIFTY22D0142900PE,MIS,250/250,22.95,COMPLETE
2022-12-01 13:30:15,BUY,BANKNIFTY22D0142900PE,MIS,900/900,22.95,COMPLETE
2022-12-01 13:30:04,BUY,BANKNIFTY22D0143400CE,MIS,150/150,22.69,COMPLETE
2022-12-01 13:30:02,BUY,BANKNIFTY22D0143400PE,MIS,150/150,188.45,COMPLETE
2022-12-01 13:29:59,BUY,BANKNIFTY22D0143600PE,MIS,0/125,501.15,CANCELLED
2022-12-01 13:29:59,BUY,BANKNIFTY22D0143700PE,MIS,0/125,634.1,CANCELLED
2022-12-01 13:29:51,BUY,BANKNIFTY22D0143300CE,MIS,150/150,56.1,COMPLETE
2022-12-01 13:29:36,BUY,BANKNIFTY22D0143300PE,MIS,150/150,103,COMPLETE
2022-12-01 13:26:02,SELL,NIFTY22D0118950PE,MIS,300/300,124.8,COMPLETE
2022-12-01 13:25:52,SELL,NIFTY22D0118950CE,MIS,300/300,3.15,COMPLETE
2022-12-01 13:25:46,SELL,BANKNIFTY22D0143300CE,MIS,150/150,74.75,COMPLETE
2022-12-01 13:25:43,SELL,BANKNIFTY22D0143300PE,MIS,150/150,59.84,COMPLETE
